id_question,thème,question,choix,réponse_initiale,réponse_validée,statut,référence_document,référence_section_page,explication_courte,remarque_pédagogique
BANK-045,Au Procedure,"Dans quelles classes d’espace aérien de la FIR Casablanca, un aéronef en vol VFR , doit être équipé d’un transpondeur de modes A+C en état de fonctionnement ? - □ D, E et F","D, E et F | A, E et D | D, E et G | +/ 100ft | +/ 200ft | +/ 300ft",a,"D, E et F",Validée AIP Maroc,AIP Maroc eAIP ENR,ENR 1.6.4 : obligation d’emport transpondeur,L’AIP ENR 1.6.4 impose un transpondeur en état de marche modes A+C pour les cas concernés.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-046,Au Procedure,"Dans quelle circonstance, le renseignement sur la position d’un aéronef qui reçoit un service radar n’est pas nécessaire ? - □ avant la cessation du service radar d’un aéronef établi sur sa route","avant la cessation du service radar d’un aéronef établi sur sa route | avant la cessation du service radar d’un aéronef écarté de sa route | à la suite d’un guidage radar, lorsque le pilote reçoit l’instruction de reprendre la navigation par ses | en cas d’urgence | pour contourner des conditions météorologiques défavorables | à la demande du pilote",a,,À confirmer,doc4444; doc 4444; doc 4444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-047,Au Procedure,Qu’elle est l’expression correcte pour demander une confirmation de capacité 8.33 KHZ ? - □ Confirm eight point three three approved,Confirm eight point three three approved | Confirm eight decimal three three approved | Confirm eight point three three,c,,À confirmer,doc 4444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-048,Au Procedure,Que signifie l’expression AcKnowledge ? - □ Répétez moi tout ce message ou la partie spécifié,Répétez moi tout ce message ou la partie spécifié | Faites-moi savoir si vous avez reçu et compris ce message | Confirmez-moi que vous avez bien reçu,étez moi tout ce message ou la partie spécifié - □ Faites-moi savoir si vous avez reçu et compris ce message - □ Confirmez-moi que vous avez bien reçu Réponse b,,Doublon à fusionner,doc 4444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Doublon probable de BANK-032. À fusionner ou conserver selon qualification ciblée.
BANK-049,Au Procedure,Quelle est la phraséologie correcte pour demander au pilote d’arrêter la transmission de l’altitude pression ? - □ Stop squawk Charlie false indication,Stop squawk Charlie false indication | Stop squawk Charlie wrong indication | Stop squawk Charlie incorrect indication | Unidentified aircraft | Intercepted aircraft | Strayed aircraft,b,,À confirmer,doc 4444; doc 4444; doc 4444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-050,Au Procedure,Quel est l’ordre d’une autorisation de contrôle de la circulation aérienne en guidage Radar ?,□ | □ 07 Jours | □ 03 Jours | □ 10 Jours | 5 minutes avant ETO de l’aéronef vertical COP. | 10 minutes avant ETO de l’aéronef vertical COP,a,,À confirmer,Instruction technique relative aux procédures de radiotéléphonie; Instruction technique évènement ATM; LoA Cannaries,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-051,Au Procedure,Quelle est l’expression correcte parmi les réponses suivantes ? - □ confirmez homologué RVSM,confirmez homologué RVSM | confirmez équipé RVSM | confirmez équipement RVSM en service | no speed restriction | continue normal speed | resume normal speed,s suivantes ? - □ confirmez homologué RVSM - □ confirmez équipé RVSM - □ confirmez équipement RVSM en service Réponse a,,À confirmer,DOC4444; DOC444 (12.4.1.6),Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-052,Au Procedure,Quelle est la séparation horizontale entre un aéronef qui largue du carburant et les autres aéronefs ? - □ 10 NM derrière l’aéronef qui largue le carburant,10 NM derrière l’aéronef qui largue le carburant | 50 NM derrière l’aéronef qui largue le carburant | 50 NM devant l’aéronef qui largue le carburant | 3 NM | 5 NM | 8 NM,b,,À confirmer,DOC4444 (15.4.3.2); DOC4444; DOC4444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-053,Au Procedure,Pour qui le service de contrôle de la circulation aérienne est assuré ? - Tous les vols IFR dans les espaces aériens de classe A-B-C-D et E,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-054,Au Procedure,Quelle est la teneur d’une autorisation de contrôle de la circulation aérienne ? - Identification de l’aéronef indiquée dans le plan de vol,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-055,Au Procedure,Quelle est l’heure estimée de croisement ? - Citez les deux temps pour les quels BAL044B doit croiser le niveau de DLH1405,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-056,Au Procedure,Quelles sont les conditions pour les quelles la séparation verticale de 1000’ pieds ne peut pas être maintenue dans un espace aérien RVSM ? - Turbulence,,,,Référence manquante,our de routes ATS,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-057,Au Procedure,"Deux avions empruntant la même route, même type, et même destination demandent à maintenir le même niveau de croisière, à qui le contrôleur doit il donner la priorité ? - La priorité est donnée à celui qui précède.",,étant donné que A devance B de 5 minutes est que son nombre de mach est supérieur de 0.06 (séparation longitudinale en fonction du temps avec la technique du nombre de mach). Déterminer l’heure estimée de croisement (HEC) entre B est D qui est 1001 Faire la coordination avec le CCR de Lisbonne pour la révision du FL de B Autoriser B à monter au FL 340 à partir de 1011 Informer C de la turbulence modérée signalée au FL 320 à 10 minutes de BEXAL en déterminant HEC entre C et D qui est 1006 est que C peut être autorisé au FL 340 à partir de 1016 si le pilote le demande.,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-058,Au Procedure,quel est l’objet de leur mise en œuvre ?,,KUBIL appartient à la RNAV UN866 entre BEXAL et LUPEX (125NM de BEXAL et 92NM de LUPEX) MITLA appartient à UA/UN873 entre NEVEL et SAMAR (124NM de NEVEL et 30NM de SAMAR) BENTU appartient à UA/UN873 entre BAROK et NEVEL (100NM de BAROK et 121NM de NEVEL) Leur mise en œuvre permet de renforcer la précision de la navigation aérienne.,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-059,Au Procedure,quel est l’objet des renseignements SIGMET ?,,"les renseignements SIGMET sont établis et communiqués par un centre de veille météorologique, concernant l’occurrence effective ou prévue de phénomènes météorologiques en route spécifiés qui peuvent affecter la sécurité de l’exploitation aérienne. - sur le champ 18 du FPL d’un vol on a : STS/HOSP",,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-060,Au Procedure,"Ce vol peut il être autorisé à évoluer dans un espace aérien RVSM ? si oui, quelle sera la séparation verticale à lui assurer vis à vis des autres vols ?",,"STS/HOSP : abréviation employée pour attirer l’attention des services ATS sur le motif du traitement spécial (avion hôpital). Ce vol ne peut pas être autorisé à évoluer dans RVSM car il en est exclu. Réponse : les renseignements SIGMET sont établis et communiqués par un centre de veille météorologique, concernant l’occurrence effective ou prévue de phénomènes météorologiques en route spécifiés qui peuvent affecter la sécurité de l’exploitation aérienne",,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-061,Au Procedure,quelle est la teneur d’un message relatif aux renseignements sur la circulation aérienne essentielle destiné à un trafic en IFR dans un espace aérien contrôlé ?,,la teneur d’un message relatif aux renseignements sur la circulation aérienne essentielle comporte le texte suivant : - identification de l’aéronef auquel les renseignements sont transmis - les mots circulation ou circulation essentielle s’il y a lieu. - Direction du vol de l’aéronef en question - Type de l’aéronef en question - Niveau de croisière de l’aéronef en question et heure d’arrivée prévue au point significatif le plus proche du lieu où l’aéronef traversera le niveau de l’autre.,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-062,Au Procedure,Quels sont les renseignements que doit demander le contrôleur à un pilote d’aeronef contraint de dévier de sa route FPL pour contourner des formations nuageuses significatives ?,,le contrôleur à l’œuvre demandera au pilote les renseignements relatifs à la déviation dont notamment : - De quel côté de la route se fera cette déviation (à gauche ou à droite) - A quelle distance de l’axe nominal de la route et pour combien de temps. - Le contrôleur doit déterminer si l’aéronef en question restera toujours dans sa zone de responsabilité (secteur) sinon doit faire sans délai la coordination nécessaire avec le secteur ou l’ACC limitrophe. - Demander si possible au pilote de l’aéronef en question les renseignements sur le genre et l’étendue approximative de la formation nuageuse sur le plan vertical et horizontal et en informer les aéronefs empruntant la même route et le cent,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-063,Au Procedure,Quelles sont les précautions que doit prendre l’organe ATC avant de procéder à une telle suspension ?,,"la suspension de l’espace aérien RVSM est envisageable en cas de fortes turbulences météorologiques ou de sillage. Avant de procéder à une telle suspension : l’ATC doit confirmer auprès des aéronefs évoluant dans l’espace aérien RVSM, la difficulté d’observer le maintient de la précision requise sur le plan vertical. L’ATC doit coordonner avec les secteurs ou les ACC limitrophes ainsi que tout ajustement requis de la capacité des secteurs.",,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-064,Au Procedure,Quelles sont les mesures supplémentaires que doit prendre un contrôleur en cas de blocage de la fréquence de contrôle par l’émetteur d’un aéronef ?,"EOBT, b- CFMU, c- AFTN, d- METAR, e- ATM, f- RNAV, g- SIGMET, h- NOTAM, i- RVSM, j-ARCID","- le contrôleur tentera d’identifier l’aéronef en cause - si l’aéronef qui bloque la fréquence est identifié, il essayera d’entrer en communication avec lui ou par l’intermédiaire d’autres usagers de l’air sur la fréquence 121.5MHZ ou par SELCAL ou la fréquence compagnie de l’exploitant de l’aéronef. - Une fois la communication est établie avec l’aéronef en cause, il lui sera demander d’arrêter l’émission par inadvertance sur la fréquence de contrôle affectée. - Quelle est la signification des abréviations suivantes : a-EOBT, b- CFMU, c- AFTN, d- METAR, e- ATM, f- RNAV, g- SIGMET, h- NOTAM, i- RVSM, j-ARCID - La signification des abréviations suivantes est: EOBT : Estimated Off-Block Time CF",,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-065,Au Procedure,Quelle est la teneur d’une autorisation de contrôle ?,"indicatif de l’aéronef, figurant dans le plan de vol ; | limite d’autorisation ; | route ; | niveau de vol et changement de niveau s’il y a lieu pour la totalité ou une portion de la route ; | INCERFA | ALRTFA",,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-066,Au Procedure,"Peut-on changer l’indicatif d’appel d’un aéronef, si oui, quelles en sont les modalités ? sinon pourquoi ? - Un organe ATS peut donner pour instruction à un autre aéronef de changer son indicatif d’appel pour des raisons de sécurité lorsqu’il est probable qu’il ait confusion entre deux ou plusieurs indicatifs similaires.",,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-067,Au Procedure,Quels sont les délais de transfert entre le CCR de Casablanca et celui de Séville selon la lettre d’agrément en vigueur ? - Citer les minima de séparation en distance entre deux aéronef suivant la même route et même sens.,,,,À confirmer,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-068,Au Procedure,Quels sont les délais de déclenchement des phases d’urgence pour un vol en route dans une voie aérienne ou région terminal ? - Les délais de déclenchement des phases d’urgence pour un vol IFR évoluant dans une voie aérienne ou une région terminale sont :,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-069,Au Procedure,"A défaut d’une séparation horizontale dans un espace aérien RVSM sous sa responsabilité, entre quel type de vol, un contrôleur doit assurer une séparation verticale de 2000 pieds ? - A défaut d’une séparation horizontale dans un espace aérien RVSM sous sa responsabilité, un contrôleur doit assurer une séparation verticale de 2000 pieds entres les aéronefs selon ce qui suit :",,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-070,Au Procedure,Donner la signification de l’abréviation ATFM et quelle est sa définition ? ATFM : gestion des courants de trafic aérien,,étitif CPL: Plan de vol en vigueur SPL: Plan de vol complémentaire AFIL : Plan de vol déposé en l’air,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-071,Au Procedure,qu’est ce qu’un vol VFR spécial ? vol VFR autorisé par le contrôle de la C.A à l’intérieur d’une zone de contrôle dans des conditions météo inférieures aux conditions VMC.,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-072,Au Procedure,quelle est la teneur d’un compte rendu de position emis par un pilote ? - identification de l’aéronef,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-073,Au Procedure,Quand est ce qu’un message de retard (DLA) sera émis et par quel organisme sera transmis ? un message DLA sera émis lorsque le départ d’un aéronef pour lequel des donnée de base de plan de vol (FPL ou RPL) on été transmises est différé ou retardé de plus de 30 minutes par rapport à l’ETD du poste de stationnement comprise dans les données de base de plan de vol,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-074,Au Procedure,Quelle mesure prendra le contrôleur CCR lors d’une descente forcée ? QUALIFICATION DE CONTROLEUR,,s),,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-075,Au Procedure,Quels sont les aéronefs autorisés à pénétrer dans l’espace aérien RVSM ?,"en cas de forte turbulence; | l'aéronef volant plus haut est en croisière ascendante; | la différence entre les performances des aéronefs est telle qu'il peut en résulter une séparation | autorisation de route ATC; | piste en service, calage altimétrique, codes SSR, instructions de niveau, instructions de cap et de","A l’exception des opérations effectuées dans l’espace aérien de transition RVSM, seuls les aéronefs homologués RVSM et tous les aéronefs d’état non homologués RVSM sont autorisés à pénétrer dans l’espace aérien RVSM. Question IV : Toutes Un aéronef envisage d'effectuer un vol entre DAAG et GMMX au FL180 en passant par les points et aides à la navigation suivants: ORSUP- SOVAL- FES- DONAS et CSD. Donnez les différentes routes qu'il va emprunter et les classes d'espace qu'il va traverser avant d'atterrir à GMMX. toutes Réponse: - Les routes sont: A411- R975 et R72 - Classes d'espace: entre ORSUP et DONAS → classe E; entre DONAS et CSD → classe D (TMA2 Casablanca); entre CSD et MAK et jusqu'au ",,À confirmer,Annexe 11 OACI,"Annexe 11, définitions / chapitres 2-5 selon question","L’Annexe 11 est maintenant disponible, mais cette réponse doit encore être contrôlée manuellement.",Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-076,Au Procedure,quel est le minimum de séparation verticale à observer dans ces zones? - les aéronefs non homologués RVSM y sont-ils admis? toutes,,Elles font partie de l'espace RVSM et le minimum de séparation est de 300 m (1000ft) pour les aéronefs homologués. Les aéronefs non homologués RVSM y sont aussi admis. Question X :,,À confirmer,DOC4444 5.4.2.3 PCNR CNR,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-077,Au Procedure,Quel est le minimum de séparation non radar en fonction de la distance pour le cas de deux aéronefs sur la même route ?,La direction de vol des aéronefs ; | Le type et la catégorie de turbulence de sillage (si ce renseignement et pertinent) des aéronefs | Le niveau de croisière des aéronefs intéressés et :,- 20NM à condition que : - chaque aéronef utilise la même station située sur la route - que la séparation soit vérifiée au moyen de lectures simultanées par les aéronefs à intervalles fréquents de manière à garantir que le minimum de séparation sera constamment respecté - 10NM à condition que : - l’aéronef qui précède maintienne une vitesse vraie supérieure de 20Kts ou davantage à celle de l’aéronef qui suit - chaque aéronef utilise la même station située sur la route - que la séparation soit vérifiée au moyen de lectures simultanées par les aéronefs à intervalles fréquents de manière à garantir que le minimum de séparation sera constamment respecté Question XI : Toutes : Ref Doc4444 chap5-1,,À confirmer,Doc4444 chap5-10; DOC4444 8.7.1 toutes,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-078,Au Procedure,"Dans le cadre de l’emploi du radar dans le contrôle de la CA, en quoi consiste la fonction de la surveillance radar ?",,"Fournir à un contrôleur non radar : - de meilleurs renseignements sur la position des aéronefs sous contrôle - des renseignements supplémentaires sur les autres aéronefs - des renseignements sur tout écart important des aéronefs par rapport aux autorisations de contrôle qui leurs ont été délivrées et notamment aux routes et, s’il y a lieu, aux niveaux autorisés. Question XIII :",,À confirmer,DOC4444 15.5 toutes,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-079,Au Procedure,"En cas de blocage par inadvertance de la fréquence de contrôle, quelles sont les mesures supplémentaires à prendre par le contrôleur ?",,"- Tenter d’identifier l’aéronef en cause ; - si l’aéronef est identifié, il faudrait tenter d’entrer en communication avec lui, par exemple sur la fréquence d’urgence 121.5Mhz, sur SELCAL, la fréquence compagnie de l’exploitant de l’aéronef le cas échéant, sur toute fréquence VHF désignée pour l’utilisation air-air par les équipages de conduite ou par tout autres moyens de communication, ou encore si l’aéronef est au sol, par contact direct. - si la communication est établie avec l’aéronef en cause, il sera demandé à l’équipage de conduite de prendre immédiatement des mesures pour arrêter les émissions par inadvertance sur la fréquence de contrôle affectée. Question XIV PCNR CNR",,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-080,Au Procedure,Quel est le contenu du message de coordination transmis par le CCR à l’APP AGADIR- AL MASSIRA ?,,"Le message de coordination transmis par le CCR contiendra les renseignements suivants : - L’indicatif de l’aéronef. - Type de l’aéronef. - Aérodromes de départ et de destination. - L’identification du point de transfert. - L’heure estimée de passage à la verticale de ce point. - Le dernier niveau de vol attribué à l’aéronef. - Eventuellement HAP - Le type de procédure d’approche IFR demandé - En cas de panne du DME, l’heure estimée d’arrivée à la verticale du VOR ADM Question XV : toutes Quels sont les bénéficiaires du service d’alerte ? Annexe 11 Réponse : Le service d’alerte est assuré : - A tout aéronef auquel est assuré le service de contrôle de la C.A ; - A tout aéronef ayant communiqué",,À confirmer,Annexe 11 OACI,"Annexe 11, définitions / chapitres 2-5 selon question","L’Annexe 11 est maintenant disponible, mais cette réponse doit encore être contrôlée manuellement.",Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-081,Au Procedure,Quelle est la procédure locale à appliquer par le contrôleur lorsque le pilote lui signale un incident (quasi-collision) sur la fréquence d’exploitation ?,à titre de demande : | à titre indicatif :,"- Aviser sans délai le superviseur - Faire préciser au pilote s’il engage à transmettre la procédure d’airprox - Dans l’affirmative, inviter le pilote à transmettre le message initial d’airprox - Noter les éléments et les communiquer au superviseur - Eviter tout commentaire sur la fréquence Question XIX :",,À confirmer,Instruction N°1726 toutes; DOC4444 toutes,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-082,Au Procedure,Quelles sont les messages qui nécessitent le collationnement ?,,- Code transpondeur - Route ATS - Niveau de vol - Cap - Vitesse - Calage altimétrique - Le taux d évolution dans le plan vertical - Heure d approche prévue - Piste en service - Identification - Condition si autorisation ou instruction de contrôle conditionnelle - Fréquence (quand on lui demande de la changer ) Question XXI :,,À confirmer,Annexe 11 OACI,"Annexe 11, définitions / chapitres 2-5 selon question","L’Annexe 11 est maintenant disponible, mais cette réponse doit encore être contrôlée manuellement.",Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-083,Au Procedure,Quel est la teneur d’une autorisation de contrôle ?,,Une autorisation de contrôle comprendra : - l’identification de l’aéronef indiquée dans le plan de vol - la limite d’autorisation - la route - les niveaux de vol pour la totalité ou pour les différentes parties de la route et les changements de niveaux si nécessaire - toute autre instruction ou renseignements nécessaires sur les questions telles que les manœuvres d’approche ou de départ. Question XXVI :,,À confirmer,DOC4444 par :11 4 2 5 CNR,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-084,Au Procedure,Quels sont les différents messages de contrôle ?,,"Les messages de contrôle comprennent : - les messages d’autorisation - les messages de transfert de contrôle Question XXVII CNR Quelles sont les limites inférieures, supérieures et la classification d’espace de : LA FIR /CASABLANCA. LA TMA2/CASABLANCA. LA TMA1/TANGER IBN BATOUTA LA CTR/OUJDA ANGADS. L’ATZ/KENITRA. Réponse: FIR/CASABLANCA : SOL-MER/UNL esp-G. TMA2/CASABLANCA : SFC-650m/FL195 esp-D et FL195/FL460 esp- A. TMA1/TANGER IBN BATOUTA : AMSL-450m/FL065 D. CTR/OUJDA ANGADS : SFC/450m D. ATZ KENITRA : SFC/450m D. Question XXVIII",,À confirmer,DOC4444 CNR CR,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-085,Au Procedure,Que signifient les mentions portées dans les cases d’un plan de vol ? - Lettre M dans la case 8 du FPL,,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-086,Au Procedure,Lettre W dans la case10 du FPL et la case Q du RPL ? - La mention STS dans la case 18 du FPL,,"M : avion d’état W : homologué RVSM STS : Traitement spécial. Question XXX : Dans quels cas on peut appliquer une séparation longitudinale de 5 et 3 minutes entre aéronefs au même niveau : CNR -Réponse Question XXXI Où se situent les espaces aériens des classes D ? CNR Réponse : Espace aérien de classe D : TMA1 Oujda, TMA Rabat, TMA1 Agadir, TMA Casablanca, TMA1 Tanger TMA2 Casablanca 650m au FL195 TMA2 Agadir FL125 au FL155 ATZ Kenitra, ATZ Mekhnès Les CTRs : Agadir, Casa-Anfa, Casa-MedV, Fès, Nador, Oujda, Rabat et Tanger PCNR Question I :",,À confirmer,MANEX CCR toutes; DOC4444 toutes; Manuel RVSM toutes,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-087,Au Procedure,Quelles sont les mesures à prendre dans de telles circonstances ?,"en cas de forte turbulence; | l'aéronef volant plus haut est en croisière ascendante; | la différence entre les performances des aéronefs est telle qu'il peut en résulter une séparation | autorisation de route ATC; | piste en service, calage altimétrique, codes SSR, instructions de niveau, instructions de cap et de","Les circonstances imprévues qui peuvent affecter la capacité des aéronefs à maintenir leur altitude en espace RVSM sont : - dégradation des équipements de bord associés au maintien de l’altitude « unable RVSM due to equipment » - phénomènes météorologiques particuliers (turbulence, orage etc…) « unable RVSM due to turbulence » Mesures à prendre : - A défaut d’une séparation horizontale réglementaire, maintenir une séparation de 2000 pieds par rapport à tous les aéronefs opérant dans l’espace aérien RVSM - Dans l’impossibilité d’assurer un espacement vertical ou horizontal, tenir informésb les aéronefs constituant la circulation essentielle - Coordonner tout changement avec les FIRs adjacente",,À confirmer,Annexe 11 OACI,"Annexe 11, définitions / chapitres 2-5 selon question","L’Annexe 11 est maintenant disponible, mais cette réponse doit encore être contrôlée manuellement.",Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-088,Au Procedure,Quels sont les services assurés et les prescriptions de vol associés à cet espace ?,,"L’espace aérien de catégorie D comprend : - TMA1 Agadir - TMA1 Casablanca - TMA1 Oujda - TMA1 Rabat - TMA1 Tanger - TMA2 Casablanca 650m au FL195 AGL-AMSL - ATZ Kénitra - ATZ Méknes - CTR Agadir - CTR Casablanca Anfa - CTR Mohammed V - CTR Oujda - CTR Rabat - CTR Tanger Services assurés et prescriptions de vol : | | IFR | VFR | | --- | --- | --- | | Séparation assurée | IFR/IFR | NON | | Services assurés | ATC, information de circulation au sujet des vols VFR (et suggestion de manœuvres d’évitement sur demande) | information de circulation au sujet des vols VFR et IFR et entre vols VFR (et suggestion de manœuvres d’évitement sur demande) | | Limite de vitesse | 250Kts VI au dessous du FL100 ",,À confirmer,DOC4444 8.7.1 toutes,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-089,Au Procedure,"Quelle est, la définition d’une autorisation VMC et quelle est sa portée ?",,"L’autorisation VMC est une autorisation complémentaire accordée à un aéronef en vol IFR lui permettant, en VMC de s’affranchir des espacements réglementaires vis-à-vis de tous les autres aéronefs en vol IFR et d’assurer visuellement sa propre séparation par rapport à ceux-ci. Une autorisation VMC : ne doit être délivrée que sur demande explicite du pilote ; ne peut être délivrée que de jour ; ne vaut que pour une partie déterminée du vol, à une altitude égale ou - inférieure à 3050m (10000 ft), pendant la montée ou la descente ; ne peut être délivrée qu’à l’intérieur d’un espace aérien contrôlé de classe - D ou E. Question XXV:",,À confirmer,"AIP Maroc eAIP ENR, WEF 11-JUN-2026",Section ENR à préciser,"L’AIP Maroc est maintenant disponible, mais cette réponse doit encore être contrôlée manuellement.",Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
